RegionIndex PupilX PupilY Glint1X Glint1Y Glint2X Glint2Y CorneaX CorneaY CorneaZ
4 940.815209 690.661317 930.124520 701.219314 946.966166 696.080084 -11.453159 24.298622 456.383579
4 940.357044 690.685784 929.736680 701.178605 946.841134 695.954979 -11.528241 24.298386 456.405038
4 940.327698 690.551239 929.631904 701.170695 946.576385 696.006529 -11.526556 24.298688 456.450396
4 940.209541 690.749198 929.584372 701.200487 946.465890 696.080231 -11.549482 24.299052 456.427103
4 940.083548 690.818112 929.453849 701.300356 946.465890 696.080231 -11.558015 24.311521 456.444219
4 940.051551 690.750047 929.453849 701.300356 946.090720 695.955200 -11.542881 24.303458 456.486285
4 940.048511 690.749102 929.453849 701.300356 946.090720 695.955200 -11.545373 24.305926 456.493525
4 940.042547 690.747247 929.453849 701.300356 946.090720 695.955200 -11.563864 24.309618 456.365223
4 939.912814 690.935592 929.357944 701.411326 945.965613 696.080379 -11.572261 24.320288 456.327310
4 939.907345 690.888286 929.353640 701.384525 945.965613 696.080379 -11.574131 24.321415 456.291880
4 939.896450 690.794043 929.345066 701.331133 945.965613 696.080379 -11.562179 24.312454 456.291616
4 939.864109 690.866632 929.279782 701.439990 945.965613 696.080379 -11.570746 24.323767 456.296919
4 939.824293 690.858024 929.254461 701.449053 945.965613 696.080379 -11.573593 24.327419 456.294984
4 939.744349 690.840741 929.203622 701.467251 945.965613 696.080379 -11.569836 24.316193 456.311108
4 938.939400 691.302931 928.259452 701.772274 944.965055 696.080676 -11.717966 24.338697 456.262279
4 938.599242 691.323025 927.952617 701.923068 944.839947 696.205856 -11.768569 24.359131 456.298103
4 938.325520 691.214292 927.708098 701.804313 944.631534 696.192003 -11.816696 24.363723 456.331416
4 938.323894 691.198316 927.687273 701.809963 944.631534 696.192003 -11.823351 24.365532 456.347310
4 938.165934 691.298368 927.473612 701.792953 944.520338 696.192036 -11.862051 24.359063 456.285967
4 938.191216 690.988688 927.483054 701.521550 944.089524 696.206082 -11.839981 24.330689 456.212665
4 938.077790 690.865790 927.374626 701.403947 943.964492 696.080978 -11.863090 24.316092 456.328225
4 937.921292 690.892268 927.452465 701.440663 943.964492 696.080978 -11.850961 24.311854 456.239365
4 938.014924 690.823975 927.416315 701.404493 943.964492 696.080978 -11.859308 24.311114 456.227540
4 937.863919 690.706784 927.377982 701.262873 943.964492 696.080978 -11.849835 24.283185 456.346816
4 937.867430 690.779963 927.377982 701.262873 944.089602 695.955798 -11.847777 24.276426 456.320476
4 937.887352 690.645009 927.377982 701.262873 944.089602 695.955798 -11.857347 24.281325 456.344970
4 938.070861 690.683982 927.374728 701.136921 944.158892 695.960403 -11.839210 24.263557 456.278659
4 938.141639 690.678199 927.482487 701.173152 944.158710 695.960391 -11.835803 24.270257 456.276000
4 937.951549 690.770426 927.306651 701.217644 944.075758 695.747165 -11.843661 24.257538 456.313161
4 937.788394 690.717763 927.287978 701.197333 944.075758 695.747165 -11.844078 24.256125 456.313068
5 944.092766 684.769459 934.085638 698.193003 950.969234 692.875386 -10.915116 23.930330 457.820684
5 944.186028 684.724186 934.255959 698.150295 950.969178 693.075605 -10.900748 23.938943 457.853676
5 944.245008 684.552895 934.208052 698.086436 950.969234 692.875386 -10.905413 23.894474 457.771702
5 944.344290 684.451564 934.349523 697.847007 951.060303 692.438485 -10.879578 23.841703 457.708842
5 944.340547 684.384369 934.349523 697.847007 951.060303 692.438485 -10.879330 23.843827 457.729474
5 944.305487 684.390914 934.349523 697.847007 950.969401 692.274732 -10.862632 23.818848 457.713874
5 944.380362 683.923620 934.284426 697.433446 951.169561 692.074460 -10.893243 23.802962 457.742634
5 943.847115 683.817865 933.809179 697.298450 950.969401 692.274732 -10.961801 23.817283 457.932201
5 943.966796 683.752365 933.958186 697.255749 950.969401 692.274732 -10.938879 23.808047 457.874833
5 943.912778 683.791086 933.987357 697.249701 950.969420 692.207646 -10.936830 23.805203 457.872305
5 944.204918 683.758604 934.107163 697.298348 950.969401 692.274732 -10.903388 23.800483 457.790854
5 944.081639 683.812193 934.107163 697.298348 950.969457 692.074514 -10.918885 23.798967 457.836157
5 944.138981 683.769033 934.047123 697.307780 950.969457 692.074514 -10.935537 23.804279 457.876829
5 944.164541 683.757763 934.100133 697.267574 950.969457 692.074514 -10.912656 23.791516 457.817013
5 944.239846 683.724560 934.256308 697.149124 950.969457 692.074514 -10.882571 23.780144 457.742254
5 944.270961 683.730257 934.270888 697.231314 950.969457 692.074514 -10.889818 23.787391 457.763506
5 944.325588 683.713500 934.236504 697.203783 950.969457 692.074514 -10.901369 23.790326 457.791179
5 944.425054 683.685468 934.256308 697.149124 950.969513 691.874297 -10.856748 23.742683 457.611867
5 944.253169 683.672003 934.175765 697.128827 950.969513 691.874297 -10.893476 23.747926 457.531265
5 944.403829 683.733122 934.256308 697.149124 950.969457 692.074514 -10.877189 23.755461 457.488574
5 944.401082 683.544633 934.208400 697.085266 950.969513 691.874297 -10.882449 23.748274 457.528779
5 944.353658 683.658127 934.208400 697.085266 950.969513 691.874297 -10.880350 23.748600 457.535241
5 944.133031 683.772154 934.172709 697.164182 950.969513 691.874297 -10.878213 23.747897 457.530008
5 944.240833 683.638153 934.072394 697.142037 950.969513 691.874297 -10.920255 23.751886 457.494348
5 944.170927 683.667221 934.001750 697.150612 950.969457 692.074514 -10.946250 23.761420 457.412653
5 943.236638 683.333753 933.196949 696.867958 950.052468 691.407443 -11.045526 23.679552 457.348729
6 939.715361 674.290872 931.458622 691.579946 948.469849 686.068863 -11.339947 22.921804 458.076182
6 939.680363 674.281988 931.468783 691.556240 948.458814 686.024620 -11.335775 22.918454 458.069405
6 939.674443 674.282076 931.458622 691.579946 948.436570 685.935436 -11.341642 22.918906 458.092523
6 939.640502 674.248221 931.462049 691.508432 948.436570 685.935436 -11.342901 22.916767 458.093766
6 939.625438 674.062375 931.465510 691.390070 948.458665 685.935430 -11.343757 22.907529 458.084617
6 939.712634 674.151746 931.468869 691.462679 948.469929 685.782871 -11.327007 22.891748 458.043190
6 939.693918 674.058465 931.458723 691.288022 948.469929 685.782871 -11.333933 22.886969 458.055064
6 939.702812 674.029330 931.458723 691.288022 948.469929 685.782871 -11.336753 22.890138 458.063588
6 939.720256 673.972179 931.458723 691.288022 948.469929 685.782871 -11.324587 22.881518 458.030455
6 939.816555 673.999978 931.501554 691.260946 948.469929 685.782871 -11.320132 22.877875 458.017970
6 939.728453 673.999402 931.530183 691.242848 948.469929 685.782871 -11.310958 22.877770 457.997601
6 939.797050 674.074189 931.511878 691.288205 948.469929 685.782871 -11.322435 22.882747 458.026580
6 939.792176 674.047402 931.542065 691.350539 948.447718 685.884448 -11.312034 22.887926 458.005556
6 939.759320 674.166146 931.570958 691.385892 948.469929 685.782871 -11.315186 22.888822 458.014929
6 939.822535 674.103374 931.591453 691.399503 948.469929 685.782871 -11.311246 22.888425 458.005925
6 939.855795 674.147832 931.565192 691.397512 948.486631 685.859441 -11.317451 22.898125 458.018698
6 939.824526 674.145489 931.565949 691.392092 948.469929 685.782871 -11.316155 22.889271 458.017396
6 939.831364 674.173247 931.616726 691.443058 948.492141 685.884701 -11.295632 22.893438 457.964428
6 939.931509 674.162794 931.654495 691.427510 948.469929 685.782871 -11.289439 22.886381 458.017729
6 939.934901 674.218246 931.632274 691.447020 948.492114 685.979784 -11.296637 22.900079 457.965685
6 939.801334 674.190956 931.632260 691.487985 948.469849 686.068863 -11.310883 22.914145 458.006364
6 939.925885 674.235262 931.639559 691.505301 948.503203 685.935418 -11.297730 22.901414 457.969557
6 939.842616 674.325568 931.639507 691.654467 948.469849 686.068863 -11.268320 22.904722 457.905412
6 939.803226 674.490006 931.483133 691.800509 948.469769 686.354857 -11.324158 22.935589 457.870235
6 939.723088 674.558016 931.533053 691.910087 948.469769 686.354857 -11.319065 22.941401 457.830404
6 939.733425 674.559331 931.507886 691.897182 948.458534 686.303347 -11.325916 22.941910 457.834562
6 939.753702 674.561911 931.458520 691.871870 948.436495 686.202309 -11.343386 22.939259 457.832368
6 939.727934 674.545537 931.458520 691.871870 948.443160 686.232866 -11.347799 22.940687 457.815193
6 939.732742 674.520780 931.458520 691.871870 948.469769 686.354857 -11.351624 22.947289 457.794527
6 939.762096 674.598142 931.458520 691.871870 948.469769 686.354857 -11.342515 22.949574 457.824338
6 939.643546 674.550622 931.458520 691.871870 948.469769 686.354857 -11.335669 22.945286 457.853217
6 939.620024 674.597582 931.458520 691.871870 948.469769 686.354857 -11.348413 22.945756 457.807553
6 939.624546 674.527616 931.458520 691.871870 948.469769 686.354857 -11.335669 22.945286 457.853217
6 939.664856 674.564639 931.458520 691.871870 948.469769 686.354857 -11.346292 22.946619 457.814140
6 939.668044 674.540030 931.458520 691.871870 948.469769 686.354857 -11.351624 22.947289 457.794527
6 939.713858 674.464873 931.438291 691.725868 948.447731 686.253819 -11.346446 22.931999 457.843163
