RegionIndex PupilX PupilY Glint1X Glint1Y Glint2X Glint2Y GazeX GazeY GazeZ
4 937.104929 679.471827 927.534098 694.971865 944.421497 689.558566 102.104256 -220.244098 -115.482340
4 937.071643 679.411287 927.510404 695.018515 944.330286 689.528148 102.318665 -220.281755 -115.478203
4 936.888610 679.520349 927.419946 695.015444 944.057466 689.437230 102.079827 -220.060438 -115.549137
4 936.680268 679.290588 927.204757 694.880666 943.966566 689.273483 101.458223 -219.699646 -115.654173
4 936.829036 679.329981 927.233903 694.805970 943.875568 689.437284 101.473199 -219.499665 -115.728804
4 936.770692 679.312403 927.233903 694.805970 943.875568 689.437284 101.472150 -219.480780 -115.735739
4 936.686770 679.294723 927.224188 694.830868 943.875568 689.437284 101.557827 -219.515201 -115.726922
4 936.751395 679.329404 927.204757 694.880666 943.875568 689.437284 101.630352 -219.716997 -115.655614
4 936.732166 679.389569 927.204757 694.880666 943.875568 689.437284 101.402770 -219.703561 -115.650194
4 936.728604 679.370241 927.210595 694.865703 943.893796 689.404472 101.272786 -219.789093 -115.612633
4 936.721509 679.331736 927.222226 694.835895 943.930110 689.339106 100.995633 -219.889787 -115.562747
4 936.714386 679.293080 927.233903 694.805970 943.966566 689.273483 100.999955 -220.257937 -115.426813
4 936.688095 679.218115 927.216721 694.727786 943.784674 689.255317 100.357983 -220.437418 -115.331140
4 936.775759 678.896246 927.175042 694.352218 943.966626 689.073270 99.075159 -220.128275 -115.386893
4 936.738344 678.821816 927.234066 694.363662 943.966626 689.073270 98.845378 -220.044490 -115.407385
4 936.716299 678.930528 927.234066 694.363662 943.966686 688.873057 98.316337 -219.849683 -115.455270
4 936.731706 678.867637 927.224319 694.338641 943.966686 688.873057 97.871568 -219.941209 -115.401123
4 936.762281 678.742832 927.204975 694.288987 943.966686 688.873057 97.644722 -219.860190 -115.420726
4 936.776920 678.763598 927.223738 694.285639 943.966686 688.873057 97.425227 -219.687631 -115.474514
4 936.794831 678.638421 927.324687 694.193034 944.148579 688.891223 98.492962 -219.298459 -115.667160
4 936.963121 678.641774 927.455211 694.084163 944.351548 688.688149 99.087740 -219.357009 -115.672661
4 937.020982 678.543762 927.455211 694.084163 944.351548 688.688149 99.024264 -219.259649 -115.705764
4 937.044536 678.578623 927.455211 694.084163 944.351548 688.688149 99.254010 -219.346878 -115.683997
4 937.033557 678.645356 927.455211 694.084163 944.351548 688.688149 100.108031 -219.886015 -115.523624
4 937.050511 678.499410 927.455211 694.084163 944.467044 688.572594 100.439939 -220.012424 -115.492033
4 937.068914 678.522694 927.455211 694.084163 944.428545 688.611112 100.547887 -220.052333 -115.482203
4 937.022898 678.494814 927.455211 694.084163 944.351548 688.688149 99.879262 -220.039382 -115.456470
4 937.022692 678.512665 927.455211 694.084163 944.351548 688.688149 99.970258 -219.833044 -115.536922
4 937.022281 678.548366 927.455211 694.084163 944.351548 688.688149 100.301246 -219.839627 -115.549597
4 937.069390 678.600903 927.533078 694.039684 944.467044 688.572594 100.469879 -220.012913 -115.493219
4 937.050015 678.595036 927.507122 694.054510 944.467044 688.572594 100.729681 -220.067752 -115.484800
4 937.011264 678.583303 927.455211 694.084163 944.467044 688.572594 101.332671 -219.987582 -115.541971
4 937.010375 678.546768 927.533078 694.039684 944.467044 688.572594 101.862984 -219.913025 -115.593748
4 937.039004 678.527558 927.507055 694.054549 944.467044 688.572594 102.024244 -219.821850 -115.634823
4 937.065716 678.508615 927.455211 694.084163 944.467044 688.572594 103.325463 -219.745616 -115.722412
4 937.132777 678.427516 927.585735 693.975291 944.467044 688.572594 102.907498 -219.442420 -115.815446
4 937.138856 678.508493 927.533078 694.039684 944.467044 688.572594 102.848254 -219.190948 -115.905728
4 937.113295 678.553010 927.568183 693.996756 944.467044 688.572594 102.636557 -219.361646 -115.832945
4 937.113628 678.556547 927.533078 694.039684 944.467044 688.572594 102.660295 -219.649190 -115.727703
4 937.034335 678.719828 927.510723 694.150919 944.351548 688.688149 101.408640 -219.524055 -115.716838
4 937.058220 678.715960 927.510723 694.150919 944.351548 688.688149 101.408227 -219.523413 -115.717056
4 937.106177 678.708195 927.510723 694.150919 944.351548 688.688149 101.426892 -219.380005 -115.770937
4 937.065754 678.697034 927.492171 694.128609 944.334381 688.733186 101.498142 -219.403807 -115.765388
4 936.965832 678.712349 927.463355 694.168618 944.317258 688.778104 101.255744 -219.722636 -115.636429
4 936.993032 678.655278 927.409640 694.197909 944.351548 688.688149 101.255211 -219.934873 -115.557925
4 936.927426 678.648051 927.357547 694.152851 944.300918 688.676120 102.748188 -220.728600 -115.332579
4 936.868979 678.610472 927.377345 694.128641 944.351548 688.688149 102.748717 -220.728871 -115.332504
4 936.973532 678.623653 927.455211 694.084163 944.351548 688.688149 102.808764 -220.792594 -115.311682
4 936.943998 678.681918 927.377345 694.128641 944.057684 688.709257 102.237386 -220.521737 -115.385754
4 936.937427 678.681585 927.377345 694.128641 944.057684 688.709257 101.920539 -220.404141 -115.414774
4 936.924388 678.680923 927.377345 694.128641 944.057684 688.709257 101.452570 -220.299394 -115.432144
4 936.889998 678.585241 927.377345 694.128641 944.216885 688.656155 101.291547 -220.197881 -115.462331
4 936.885395 678.587945 927.377345 694.128641 944.057684 688.709257 101.225365 -220.252980 -115.438936
4 936.785534 678.610998 927.302913 694.084217 944.057684 688.709257 100.711491 -220.116869 -115.465808
4 936.881995 678.582041 927.296000 694.106946 944.057684 688.709257 100.231805 -220.068788 -115.461690
4 936.876998 678.587744 927.271128 694.091893 944.057684 688.709257 99.704918 -220.012931 -115.458292
4 936.785032 678.559555 927.201903 694.088502 943.838141 688.650764 99.671030 -219.734732 -115.559615
4 936.733155 678.451960 927.221769 694.062021 943.812782 688.611325 99.680059 -219.738844 -115.558507
4 936.621548 678.605341 927.088350 694.151071 943.716591 688.739589 99.863636 -219.462406 -115.669106
4 936.586566 678.594753 927.059335 694.151577 943.679119 688.669560 99.888383 -219.473685 -115.666066
4 936.515500 678.573242 927.000393 694.152604 943.602994 688.527297 99.516696 -219.460004 -115.654157
4 936.330307 678.549876 926.737363 694.040871 943.466507 688.572886 99.268677 -218.356658 -116.050822
4 936.330802 678.567593 926.737363 694.040871 943.466507 688.572886 99.445939 -218.371429 -116.053452
4 936.262804 678.443493 926.656819 694.020577 943.466507 688.572886 99.551218 -218.372227 -116.057963
4 936.192539 678.530799 926.585089 693.975652 943.466507 688.572886 99.821667 -218.389824 -116.063802
4 936.117915 678.476469 926.510124 694.017727 943.466507 688.572886 101.207964 -219.376167 -115.762362
4 935.862505 678.447672 926.265161 693.970947 943.115449 688.304908 101.451185 -219.613993 -115.685524
4 935.744250 678.355165 926.204477 693.879880 943.049631 688.406232 101.449436 -219.618107 -115.683922
4 935.718457 678.287007 926.204477 693.879880 942.875328 688.436516 101.448002 -219.620585 -115.682941
4 935.576132 678.330860 926.014934 693.931942 942.716151 688.406331 101.027398 -219.590052 -115.675031
4 935.132304 678.394790 925.584436 693.976015 942.465964 688.573181 101.919068 -220.161284 -115.504509
4 935.163271 678.426877 925.566792 693.997591 942.465964 688.573181 101.910355 -220.231463 -115.478161
4 935.009693 678.534362 925.531778 694.040408 942.465964 688.573181 103.513414 -220.042636 -115.621162
4 934.922222 678.605758 925.453910 694.084888 942.350466 688.688738 103.646839 -220.237876 -115.555058
4 934.965140 678.624363 925.376042 694.129367 942.350466 688.688738 103.791130 -220.247048 -115.558253
4 934.960995 678.618124 925.376042 694.129367 942.350466 688.688738 103.875594 -220.283607 -115.548591
4 934.952639 678.605549 925.376042 694.129367 942.350466 688.688738 103.832163 -220.337344 -115.526738
4 934.941231 678.612759 925.376042 694.129367 942.350466 688.688738 103.622507 -220.333001 -115.518773
4 934.933992 678.684379 925.340845 694.172408 942.215777 688.740033 103.096392 -220.263102 -115.520603
4 934.887577 678.691552 925.376042 694.129367 942.215777 688.740033 102.892631 -220.261808 -115.511780
4 934.887287 678.549982 925.313821 694.165064 942.162718 688.729971 102.485376 -220.167740 -115.527973
4 934.848579 678.615390 925.294697 694.107672 942.056599 688.709848 102.047959 -219.974833 -115.579337
4 934.734927 678.583594 925.171108 694.128541 942.056599 688.709848 101.823586 -219.423959 -115.772792
4 934.760519 678.546684 925.187560 694.106610 942.056599 688.709848 101.474327 -218.961725 -115.927771
4 934.811704 678.472864 925.220465 694.062748 942.056599 688.709848 101.098336 -218.320031 -116.147888
5 939.782757 674.008660 931.418023 691.295973 948.469929 685.782871 74.244660 -259.090724 -99.846177
5 939.782269 674.037721 931.384191 691.249805 948.469929 685.782871 74.036139 -259.038574 -99.855942
5 939.806692 674.001381 931.458723 691.288022 948.469929 685.782871 72.973868 -259.267565 -99.722776
5 939.816555 673.999978 931.501554 691.260946 948.469929 685.782871 73.493448 -259.295597 -99.736129
5 939.797050 674.074189 931.511878 691.288205 948.469929 685.782871 74.127327 -259.234959 -99.787487
5 939.861100 674.070029 931.468903 691.365404 948.469929 685.782871 74.614165 -258.918640 -99.926676
5 939.899398 674.142985 931.562922 691.475695 948.503203 685.935418 74.365146 -256.902723 -100.660739
5 939.855795 674.147832 931.565192 691.397512 948.486631 685.859441 74.533213 -257.114444 -100.590123
5 939.931509 674.162794 931.654495 691.427510 948.469929 685.782871 74.290119 -257.136497 -100.570871
5 940.001424 674.231837 931.632281 691.426617 948.503203 685.935418 74.289774 -257.094273 -100.586469
5 939.934901 674.218246 931.632274 691.447020 948.492114 685.979784 74.013769 -257.147108 -100.554332
5 939.925885 674.235262 931.639559 691.505301 948.503203 685.935418 73.292610 -257.553750 -100.371047
5 939.953907 674.207829 931.562900 691.538264 948.436570 685.935436 73.292549 -257.546227 -100.373826
5 939.950825 674.483983 931.500297 691.725993 948.503129 686.202291 74.334287 -257.433997 -100.462880
5 939.803226 674.490006 931.483133 691.800509 948.469769 686.354857 75.801940 -256.993655 -100.692703
5 939.810016 674.613843 931.468753 691.794480 948.469769 686.354857 76.123890 -257.313892 -100.588985
5 939.753702 674.561911 931.458520 691.871870 948.436495 686.202309 76.498741 -257.491541 -100.540407
5 939.762096 674.598142 931.458520 691.871870 948.469769 686.354857 77.543418 -258.336968 -100.275480
5 939.801158 674.453898 931.427978 691.651435 948.436495 686.202309 77.398480 -259.179467 -99.957331
